Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J45564,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8125,0.0001790227485071,Tier 1 (Hard)
Phatr3_J11866,t1_Fe_deplete_vs_t1_Mn_deplete,-1.81013,0.0001833846965466,Tier 1 (Hard)
Phatr3_J50377,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8078066666666663,0.0001877419166,Tier 1 (Hard)
Phatr3_J45617,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8040733333333328,0.0001945313000121,Tier 1 (Hard)
Phatr3_J44552,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8040288666666668,0.0001945313000121,Tier 1 (Hard)
Phatr3_J45386,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8036073333333336,0.0001945313000121,Tier 1 (Hard)
Phatr3_J21929,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7985266666666666,0.0002061949610907,Tier 1 (Hard)
Phatr3_J13360,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7970956666666666,0.0002087391305993,Tier 1 (Hard)
Phatr3_J47453,t1_Fe_deplete_vs_t1_Mn_deplete,-1.796193333333333,0.0002099200379309,Tier 1 (Hard)
Phatr3_J46871,t1_Fe_deplete_vs_t1_Mn_deplete,-1.79419,0.0002140516988128,Tier 1 (Hard)
Phatr3_J43703,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7890775666666667,0.0002269353113925,Tier 1 (Hard)
Phatr3_J24775,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7852666666666666,0.0002366826539672,Tier 1 (Hard)
Phatr3_J50848,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7806481666666665,0.0002493307771926,Tier 1 (Hard)
Phatr3_J33729,t1_Fe_deplete_vs_t1_Mn_deplete,-1.77012,0.0002826189427722,Tier 1 (Hard)
Phatr3_J16955,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7583173333333333,0.000324311069956,Tier 1 (Hard)
Phatr3_J51404,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7580946666666666,0.000324311069956,Tier 1 (Hard)
Phatr3_J49120,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7555666666666667,0.0003327436665221,Tier 1 (Hard)
Phatr3_Jdraft1329,t1_Fe_deplete_vs_t1_Mn_deplete,-1.75286,0.0003421416583209,Tier 1 (Hard)
Phatr3_J42831,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7513116666666668,0.0003468339382821,Tier 1 (Hard)
